time,ax,ay,az
0.168000,-0.023917,0.020524,-0.003935
0.170000,0.009739,-0.000395,-0.001313
0.172000,-0.009388,-0.016365,0.020720
0.174000,0.000250,-0.034325,0.012285
0.176000,0.009615,-0.008826,0.009141
0.178000,0.008931,0.015093,-0.008049
0.180000,0.013308,0.045531,0.024300
0.182000,-0.001970,0.001232,0.080516
0.184000,-0.008466,-0.015307,0.013826
0.186000,-0.001594,-0.023699,0.001993
0.188000,-0.033747,0.011039,-0.025957
0.190000,-0.028942,-0.035292,-0.012750
0.192000,-0.026454,0.011007,-0.004274
0.194000,-0.019945,0.016354,-0.010692
0.196000,0.007995,0.008726,-0.000322
0.198000,-0.018110,-0.004393,0.035560
0.200000,-0.007563,0.011299,0.024943
0.202000,0.025985,0.003419,-0.003177
0.204000,-0.007125,-0.015562,-0.024166
0.206000,0.014750,0.037008,0.026747
0.208000,-0.018672,-0.007034,-0.000981
0.210000,-0.004109,0.015515,-0.034530
0.212000,-0.019000,-0.048372,0.014249
0.214000,-0.006781,0.025529,0.020514
0.216000,0.016806,0.029375,-0.048518
0.218000,-0.034546,0.000597,-0.016491
0.220000,0.008688,0.011175,-0.002209
0.222000,0.004755,0.011170,0.014690
0.224000,-0.011883,-0.012856,-0.010315
0.226000,-0.028921,0.010942,-0.016643
0.228000,0.001443,-0.016173,0.014543
0.230000,-0.010590,-0.012175,-0.009366
0.232000,0.004654,0.022539,0.010841
0.234000,0.000437,0.019493,-0.022230
0.236000,0.032036,-0.014128,-0.027047
0.238000,-0.004787,-0.014672,0.015105
0.240000,-0.020470,-0.012912,0.005050
0.242000,0.003586,0.014653,0.018449
0.244000,0.004400,-0.020000,-0.010652
0.246000,0.027184,0.007134,-0.015902
0.248000,0.016702,0.014937,0.027214
0.250000,0.007137,-0.001765,-0.030459
0.252000,0.029266,0.020201,0.025029
0.254000,-0.023775,-0.006086,0.026410
0.256000,-0.012795,-0.004277,0.017202
0.258000,-0.018532,-0.019545,-0.013756
0.260000,-0.007796,0.020344,-0.016330
0.262000,-0.027534,-0.015330,-0.004201
0.264000,0.012703,0.006995,-0.025901
0.266000,-0.004444,-0.001426,-0.019234
0.268000,-0.029416,-0.021056,0.012895
0.270000,-0.020312,-0.012182,0.012987
0.272000,0.006270,0.027657,-0.020991
0.274000,0.016763,0.004033,0.013522
0.276000,0.039935,-0.020183,0.009086
0.278000,0.058277,0.006107,0.030198
0.280000,0.008288,-0.002922,0.011383
0.282000,-0.019791,0.069081,0.021172
0.284000,-0.042641,0.005702,0.009542
0.286000,0.005354,-0.007612,0.019599
0.288000,-0.016259,0.028401,-0.025742
0.290000,-0.008307,-0.036821,-0.002435
0.292000,-0.012242,0.001886,-0.000780
0.294000,-0.002816,0.039889,-0.004875
0.296000,0.021320,-0.002324,0.008878
0.298000,0.003141,-0.034666,0.012688
0.300000,-0.003173,-0.007918,0.007845
0.302000,-0.020713,0.029090,-0.003539
0.304000,-0.033494,0.007521,-0.014715
0.306000,-0.009726,-0.016777,0.021944
0.308000,-0.001076,-0.013705,0.006995
0.310000,0.035359,-0.011194,-0.020372
0.312000,0.002605,0.007224,-0.003874
0.314000,0.019655,0.026764,-0.034866
0.316000,-0.009986,0.021048,0.000707
0.318000,-0.023699,0.009120,-0.003968
0.320000,-0.019302,-0.026633,-0.011489
0.322000,-0.014505,-0.026559,0.031692
0.324000,0.042569,0.010665,-0.023123
0.326000,-0.016428,-0.026909,0.014128
0.328000,0.016770,-0.004511,0.043734
0.330000,-0.018059,0.006083,0.021545
0.332000,0.018631,-0.022752,-0.000631
0.334000,0.007699,-0.020485,-0.022681
0.336000,-0.003133,-0.001882,-0.027241
0.338000,-0.000815,0.010073,-0.008231
0.340000,-0.013096,0.021230,-0.013740
0.342000,0.008921,0.012141,-0.014391
0.344000,-0.009100,0.001473,-0.006526
0.346000,-0.024512,-0.014924,-0.002045
0.348000,-0.025559,-0.021418,0.009704
0.350000,0.003452,-0.010218,-0.024756
0.352000,0.031582,0.008199,-0.013645
0.354000,0.003200,0.006732,-0.003193
0.356000,-0.002373,-0.041998,-0.003910
0.358000,0.005717,-0.015714,0.036728
0.360000,0.026120,0.024090,0.004645
0.362000,0.004388,0.001584,-0.032272
0.364000,-0.008219,-0.028340,0.008364
0.366000,0.022126,0.047116,0.010913
0.368000,0.008575,-0.000579,-0.002503
0.370000,0.030715,0.007687,-0.024268
0.372000,0.003665,0.007990,0.035161
0.374000,-0.024489,-0.007352,-0.021398
0.376000,-0.027363,-0.014551,0.013215
0.378000,0.033019,0.042433,0.004001
0.380000,0.034473,0.020064,0.012016
0.382000,-0.003590,0.016439,0.034137
0.384000,-0.007664,0.011526,0.011233
0.386000,0.029229,-0.020066,-0.011173
0.388000,-0.022141,0.025551,0.022120
0.390000,-0.017895,-0.016863,-0.012622
0.392000,0.012867,0.005666,0.003271
0.394000,-0.007892,-0.032788,-0.025862
0.396000,-0.000102,-0.040817,-0.020666
0.398000,-0.003269,0.006366,0.001028
0.400000,0.006751,-0.016182,0.007362
0.402000,0.028150,-0.039783,-0.034048
0.404000,0.001812,0.010812,0.009946
0.406000,0.012879,0.042402,-0.016389
0.408000,-0.041003,0.027791,0.025594
0.410000,-0.000974,-0.005146,-0.007039
0.412000,-0.016865,0.000177,-0.022472
0.414000,-0.024376,0.017754,0.001516
0.416000,-0.017563,0.022443,-0.018325
0.418000,-0.006682,-0.006871,0.025379
0.420000,0.018318,0.000684,0.000011
0.422000,-0.026528,0.006012,-0.003034
0.424000,0.000613,0.011078,0.011836
0.426000,-0.009683,-0.002662,-0.020099
0.428000,-0.006553,-0.002402,-0.025783
0.430000,0.020055,0.027597,0.008167
0.432000,0.010762,0.024190,-0.021993
0.434000,0.026748,0.009548,-0.022000
0.436000,-0.003090,0.034382,0.016735
0.438000,-0.013919,-0.007729,0.010501
0.440000,-0.004477,0.032459,-0.025077
0.442000,0.004850,0.010850,-0.012383
0.444000,0.003531,0.065421,-0.018075
0.446000,-0.021688,-0.023850,0.035526
0.448000,0.001810,-0.013787,0.018120
0.450000,0.004565,0.008376,-0.008417
0.452000,0.050349,0.007945,0.011524
0.454000,0.037537,0.039003,-0.027124
0.456000,-0.017065,-0.013367,-0.013453
0.458000,-0.005748,0.018098,0.002097
0.460000,-0.029269,0.023249,0.009045
0.462000,-0.011814,0.014093,-0.001949
0.464000,0.006312,-0.019220,0.004960
0.466000,0.024117,0.028155,0.001567
0.468000,-0.014582,0.024586,-0.003272
0.470000,-0.013083,0.011992,-0.005923
0.472000,-0.042946,0.004087,-0.008525
0.474000,-0.003253,0.004522,0.004639
0.476000,-0.021248,-0.001575,0.008216
0.478000,-0.010589,0.012816,0.003967
0.480000,-0.017537,0.000623,-0.023572
0.482000,-0.001885,-0.016970,-0.019979
0.484000,-0.035155,-0.020972,0.007978
0.486000,-0.029341,-0.015041,0.029433
0.488000,0.042585,0.004443,0.003048
0.490000,-0.025748,-0.000539,-0.008233
0.492000,-0.021936,0.004307,0.004487
0.494000,0.036738,0.010016,-0.022736
0.496000,0.058101,-0.012546,0.026179
0.498000,-0.023431,0.029313,0.003732
0.500000,-0.007365,-0.005354,-0.013389
0.502000,0.006831,-0.008669,-0.003336
0.504000,0.034574,0.009648,-0.010541
0.506000,-0.019737,-0.036730,0.026233
0.508000,-0.004906,-0.015811,-0.004045
0.510000,0.015547,0.019621,0.003107
0.512000,0.008695,-0.034748,0.011475
0.514000,-0.007523,0.022351,-0.014815
0.516000,-0.002676,0.030223,0.003874
0.518000,-0.027498,-0.007389,0.005489
0.520000,-0.004763,0.005836,-0.031082
0.522000,-0.005328,0.022382,0.005054
0.524000,0.004643,-0.009336,-0.000915
0.526000,-0.011107,0.017356,0.002599
0.528000,0.009431,-0.013423,0.000713
0.530000,0.020254,-0.009552,0.005183
0.532000,0.003109,-0.015987,0.026747
0.534000,0.007035,0.006853,-0.023590
0.536000,0.001063,0.023159,-0.006843
0.538000,0.000002,-0.003682,0.013332
0.540000,-0.014431,-0.025425,0.009619
0.542000,0.006330,-0.021654,0.009188
0.544000,-0.001946,0.007892,0.055072
0.546000,0.041863,0.036882,0.012283
0.548000,0.031467,0.007874,0.022619
0.550000,0.007717,-0.007738,-0.006141
0.552000,-0.015261,0.015324,-0.019858
0.554000,-0.022248,-0.004790,-0.006286
0.556000,0.023823,-0.007566,0.014239
0.558000,0.005255,-0.019169,0.008137
0.560000,0.009603,0.028169,0.008065
0.562000,-0.034892,-0.050784,-0.004287
0.564000,0.018549,0.015957,-0.007476
0.566000,0.009088,-0.009275,-0.003597
0.568000,-0.022209,-0.008207,0.014490
0.570000,-0.009430,0.033846,0.016815
0.572000,0.005274,-0.014283,-0.020125
0.574000,0.001049,-0.013601,0.015247
0.576000,-0.005843,-0.002608,-0.013014
0.578000,-0.002070,0.008277,0.009378
0.580000,-0.005040,-0.008837,-0.003839
0.582000,0.003051,-0.031477,0.031316
0.584000,0.029430,-0.017314,-0.008361
0.586000,-0.051333,0.025627,0.003572
0.588000,-0.004737,0.001496,0.012132
0.590000,0.003530,0.009022,-0.017479
0.592000,0.005920,-0.005228,-0.001457
0.594000,-0.007438,-0.013190,-0.005332
0.596000,-0.035134,0.033551,-0.010276
0.598000,0.006560,-0.003764,-0.008794
0.600000,0.034547,-0.008867,0.022240
0.602000,-0.030677,0.021923,-0.011971
0.604000,0.017277,-0.014447,0.011328
0.606000,-0.006571,-0.011895,0.006292
0.608000,-0.001226,0.000205,-0.027940
0.610000,-0.021058,0.000005,0.010383
0.612000,-0.006689,0.005192,-0.028270
0.614000,0.026001,0.041833,0.012562
0.616000,0.011653,0.006725,-0.010144
0.618000,0.034646,-0.047561,0.000167
0.620000,0.023548,0.006526,-0.025886
0.622000,0.008782,0.000758,0.002448
0.624000,0.034879,0.000869,0.018539
0.626000,0.008780,0.004919,-0.016139
0.628000,0.016560,-0.000574,-0.012143
0.630000,-0.005931,-0.001052,0.009092
0.632000,0.001331,0.012261,0.009592
0.634000,-0.013948,-0.010842,-0.048684
0.636000,0.019792,-0.018954,0.040308
0.638000,-0.023566,0.060476,0.010571
0.640000,0.015647,-0.014317,0.013938
0.642000,-0.003813,0.002003,-0.002871
0.644000,0.023425,-0.029913,-0.037107
0.646000,0.015017,0.002329,0.013494
0.648000,0.036413,-0.018665,-0.011304
0.650000,0.014615,-0.008849,0.010879
0.652000,-0.031441,0.020901,-0.004376
0.654000,-0.001339,0.009440,0.004761
0.656000,-0.023440,0.011368,-0.015500
0.658000,-0.010366,-0.035424,0.017288
0.660000,0.030225,0.036738,-0.023768
0.662000,0.012751,-0.023838,0.044911
0.664000,-0.013979,0.030571,0.044759
0.666000,-0.020274,0.020431,0.032654
0.668000,0.000656,0.011547,0.025510
0.670000,-0.024331,-0.017100,-0.001691
0.672000,-0.013423,0.003032,0.023331
0.674000,0.006240,-0.009418,-0.001924
0.676000,0.023106,0.000581,-0.031070
0.678000,0.012175,-0.004997,0.030064
0.680000,-0.045826,-0.040772,0.022576
0.682000,0.006087,0.022436,-0.000627
0.684000,0.001441,-0.001622,-0.024504
0.686000,0.008278,-0.009696,-0.011724
0.688000,0.032324,-0.011207,-0.036423
0.690000,-0.041265,0.007169,0.018902
0.692000,-0.011822,-0.017875,-0.032066
0.694000,0.011818,-0.045104,0.005737
0.696000,-0.031632,0.008143,-0.016874
0.698000,0.029519,0.010382,-0.028534
0.700000,0.007367,-0.003993,0.004767
0.702000,0.016932,-0.022958,-0.006676
0.704000,-0.011419,0.001779,0.016764
0.706000,0.016275,-0.029291,-0.025352
0.708000,0.021369,-0.020545,-0.015146
0.710000,0.004658,-0.015014,-0.047753
0.712000,0.004688,0.016879,-0.043687
0.714000,0.005407,-0.007252,0.035964
0.716000,-0.017267,-0.008957,0.041672
0.718000,-0.002951,0.039094,0.001855
0.720000,-0.003050,0.007049,-0.016477
0.722000,0.007668,0.006780,-0.005969
0.724000,0.019996,-0.007394,0.017471
0.726000,-0.021171,-0.011927,-0.010288
0.728000,-0.002500,-0.043728,0.004753
0.730000,0.029629,0.019375,-0.000255
0.732000,-0.014872,0.008966,-0.011376
0.734000,-0.016445,-0.003583,-0.010524
0.736000,0.004046,-0.002745,0.005866
0.738000,0.016888,0.014723,-0.019538
0.740000,0.000229,-0.031094,0.009035
0.742000,0.026579,-0.011798,-0.009432
0.744000,0.017136,-0.022726,0.002547
0.746000,0.016836,0.035430,0.027679
0.748000,0.011082,0.017513,-0.003364
0.750000,0.046553,-0.044054,0.018396
0.752000,-0.004103,-0.030275,-0.035841
0.754000,-0.040070,-0.002647,-0.009407
0.756000,0.032085,-0.009449,0.000554
0.758000,-0.009154,-0.026488,0.038467
0.760000,0.002158,0.038895,-0.039199
0.762000,0.026191,0.006251,-0.001924
0.764000,-0.032045,0.009496,0.029134
0.766000,-0.025033,-0.013840,-0.015700
0.768000,-0.032026,0.014445,-0.004257
0.770000,-0.015883,-0.007609,0.006635
0.772000,0.008793,-0.005667,0.003690
0.774000,0.010484,0.012220,0.031315
0.776000,0.005525,-0.032580,0.008969
0.778000,-0.028255,0.031941,0.026555
0.780000,-0.046202,0.003648,-0.007200
0.782000,0.001087,0.025619,-0.014811
0.784000,-0.009436,-0.021508,-0.004514
0.786000,0.009188,-0.018463,-0.023182
0.788000,0.014039,-0.023238,0.009670
0.790000,0.002765,0.005006,-0.007718
0.792000,0.015203,0.001320,-0.013436
0.794000,0.004584,-0.009288,0.009973
0.796000,0.010601,-0.020281,-0.022874
0.798000,-0.014093,-0.025332,0.015410
0.800000,-0.003592,-0.000970,-0.009567
0.802000,0.003936,-0.009312,0.023182
0.804000,0.016411,-0.013712,-0.007855
0.806000,-0.007875,0.030942,0.012638
0.808000,0.010423,-0.001647,0.003591
0.810000,-0.005317,0.025401,0.014878
0.812000,-0.002351,-0.010665,0.002199
0.814000,0.016590,0.004896,-0.033268
0.816000,-0.039861,-0.001110,0.020176
0.818000,-0.025929,-0.033952,-0.001754
0.820000,-0.029644,0.028567,0.015790
0.822000,-0.046672,-0.002703,0.013805
0.824000,-0.013565,0.014928,-0.015466
0.826000,0.014989,-0.015041,-0.018296
0.828000,-0.005698,-0.003297,0.013107
0.830000,0.003956,-0.017337,-0.006065
0.832000,0.021784,0.024720,0.018729
0.834000,0.026554,0.006228,-0.003564
0.836000,-0.001383,0.007341,0.020468
0.838000,0.027072,0.027164,0.008466
0.840000,0.001843,0.023127,0.005759
0.842000,-0.016748,0.015307,-0.007480
0.844000,-0.011888,-0.028435,0.004649
0.846000,-0.029611,-0.013914,0.023857
0.848000,-0.017763,-0.020078,-0.001084
0.850000,-0.007160,0.014551,0.010623
0.852000,0.016072,0.003413,0.000927
0.854000,0.034415,-0.027810,0.002492
0.856000,-0.027644,-0.003775,0.034468
0.858000,0.007857,-0.029882,0.024035
0.860000,-0.020811,-0.001063,0.001588
0.862000,0.009494,-0.033107,0.004289
0.864000,-0.002622,0.010577,-0.014037
0.866000,-0.036618,0.007559,-0.003459
0.868000,0.018566,0.038159,0.006188
0.870000,-0.012100,0.016957,0.017012
0.872000,-0.010678,-0.008458,0.014984
0.874000,-0.021395,0.016361,-0.022185
0.876000,-0.013086,-0.027953,0.019540
0.878000,0.008558,-0.019249,-0.001775
0.880000,-0.003785,0.006663,-0.019740
0.882000,0.006573,-0.043165,0.026728
0.884000,0.007238,-0.000743,0.029266
0.886000,0.026413,-0.020405,0.005275
0.888000,-0.006856,0.002026,0.014176
0.890000,-0.029537,-0.021555,0.015349
0.892000,0.021344,0.008485,0.027915
0.894000,-0.006630,0.000387,0.014561
0.896000,0.022292,0.028007,-0.026554
0.898000,0.007668,0.000135,0.040196
0.900000,-0.002623,-0.015373,0.021313
0.902000,0.006976,-0.004938,-0.010190
0.904000,0.039020,-0.026885,-0.020593
0.906000,0.041540,0.008123,0.010096
0.908000,0.001388,0.011797,-0.005565
0.910000,0.003204,0.049384,0.006600
0.912000,0.021525,-0.012437,0.014868
0.914000,-0.016913,-0.005356,-0.011329
0.916000,0.006661,-0.011515,-0.022322
0.918000,-0.000517,0.004242,0.007716
0.920000,0.006278,0.007634,-0.010668
0.922000,-0.016667,-0.001067,0.002922
0.924000,-0.031791,0.021727,-0.026867
0.926000,-0.041460,-0.012340,-0.005044
0.928000,-0.022348,0.019723,0.014299
0.930000,-0.009174,0.010770,0.012119
0.932000,-0.005864,-0.000241,-0.015767
0.934000,0.038745,-0.006299,-0.023365
0.936000,0.022120,0.048533,0.000315
0.938000,-0.019242,-0.016340,0.011221
0.940000,0.006954,0.005959,0.008104
0.942000,-0.008142,-0.015004,-0.010243
0.944000,-0.005687,0.035712,0.005956
0.946000,0.003707,0.017737,0.030047
0.948000,0.012383,-0.013567,0.004103
0.950000,-0.006785,0.010252,-0.032663
0.952000,0.021277,0.005154,0.004064
0.954000,-0.022839,-0.010332,0.040879
0.956000,0.000127,0.015163,-0.025748
0.958000,0.051953,0.007786,0.000594
0.960000,0.004462,0.004314,-0.004527
0.962000,0.028664,-0.000838,0.001918
0.964000,0.001830,0.008621,0.003885
0.966000,0.011616,0.004588,0.022799
0.968000,-0.001136,0.001182,0.001696
0.970000,-0.003408,-0.012820,0.025545
0.972000,-0.015590,0.033875,-0.002353
0.974000,0.008606,-0.021008,-0.007003
0.976000,-0.017031,0.008553,-0.013384
0.978000,0.013312,-0.006405,-0.036342
0.980000,0.021706,0.035191,0.005516
0.982000,0.007331,-0.018070,0.041080
0.984000,-0.005725,-0.014705,0.009165
0.986000,0.009079,-0.019396,0.013735
0.988000,-0.006173,0.006469,-0.008261
0.990000,0.018711,-0.027461,-0.004887
0.992000,-0.036628,-0.009571,0.019693
0.994000,-0.006712,-0.043047,0.040174
0.996000,-0.039816,0.004808,0.029759
0.998000,-0.029901,-0.010004,0.016105
1.000000,0.027277,-0.029761,0.000703
1.002000,0.017904,0.021712,0.012194
1.004000,-0.014390,-0.026153,0.000930
1.006000,-0.030050,0.015939,-0.004963
1.008000,-0.059291,-0.014021,0.009464
1.010000,-0.010870,0.032031,0.040996
1.012000,0.048408,0.014991,0.042160
1.014000,0.008698,-0.020161,0.026611
1.016000,-0.011191,-0.018342,0.063254
1.018000,0.009302,0.012111,0.065631
1.020000,-0.031219,-0.005248,0.056543
1.022000,-0.005946,-0.003387,0.080596
1.024000,0.001990,0.025445,0.089581
1.026000,-0.001722,-0.014974,0.091667
1.028000,0.015816,0.001826,0.130533
1.030000,0.006893,0.019093,0.081942
1.032000,0.013367,0.016182,0.088284
1.034000,-0.013767,-0.003192,0.136066
1.036000,0.017956,-0.005778,0.145923
1.038000,0.032579,-0.034776,0.160084
1.040000,-0.019403,-0.021125,0.149221
1.042000,-0.017754,0.006367,0.149642
1.044000,0.026716,-0.002758,0.175854
1.046000,-0.003827,0.001499,0.175168
1.048000,0.028076,0.020785,0.223021
1.050000,-0.008851,-0.023746,0.193515
1.052000,0.029101,-0.004724,0.206936
1.054000,0.002630,0.003774,0.265508
1.056000,0.005165,-0.014083,0.220105
1.058000,0.031294,0.028630,0.243123
1.060000,-0.007235,0.018172,0.252926
1.062000,-0.018822,0.005803,0.262628
1.064000,-0.008971,0.035885,0.261790
1.066000,0.009047,-0.029978,0.267877
1.068000,-0.031315,-0.000155,0.274007
1.070000,0.012749,0.007327,0.268480
1.072000,-0.010775,-0.018291,0.294510
1.074000,0.022956,0.006014,0.336573
1.076000,-0.047885,-0.022132,0.328214
1.078000,-0.015731,0.013811,0.318078
1.080000,-0.033729,0.021157,0.337117
1.082000,-0.016525,0.005447,0.310616
1.084000,0.004953,-0.037056,0.330790
1.086000,-0.003585,-0.019336,0.362957
1.088000,-0.005068,0.011294,0.381743
1.090000,-0.003184,0.000424,0.344583
1.092000,0.004068,-0.053880,0.358328
1.094000,-0.020171,0.024857,0.419628
1.096000,0.014137,0.002733,0.385925
1.098000,0.013253,-0.016381,0.428467
1.100000,0.007701,0.019899,0.404137
1.102000,0.011131,-0.013551,0.412924
1.104000,0.005928,-0.013769,0.409890
1.106000,0.040701,0.007167,0.442851
1.108000,-0.001742,0.035621,0.459156
1.110000,-0.006142,0.032472,0.419300
1.112000,-0.015071,0.007194,0.440951
1.114000,-0.020645,0.009248,0.474302
1.116000,-0.024889,0.015830,0.461409
1.118000,-0.017776,-0.025140,0.462132
1.120000,-0.001414,0.012883,0.500191
1.122000,0.006686,-0.014681,0.510069
1.124000,0.001023,0.006370,0.487007
1.126000,-0.015311,-0.004549,0.508247
1.128000,0.018004,0.010024,0.487831
1.130000,0.014788,0.002362,0.502090
1.132000,-0.003193,-0.061461,0.530483
1.134000,-0.013058,0.003578,0.536628
1.136000,0.010969,0.012843,0.524662
1.138000,0.003759,0.008919,0.537681
1.140000,-0.028963,-0.002052,0.538699
1.142000,-0.001360,0.032843,0.577101
1.144000,0.005241,0.006227,0.536647
1.146000,-0.017994,0.008753,0.563768
1.148000,0.003797,0.020890,0.554741
1.150000,-0.029096,0.007252,0.608380
1.152000,0.026724,-0.017960,0.571945
1.154000,0.024959,-0.048767,0.616635
1.156000,-0.005050,-0.009542,0.656790
1.158000,0.007269,0.015219,0.665469
1.160000,-0.048198,-0.007062,0.603882
1.162000,-0.023127,0.016024,0.653968
1.164000,-0.005876,0.002975,0.636221
1.166000,-0.021443,0.025761,0.640137
1.168000,0.014288,-0.005904,0.669731
1.170000,0.039946,0.009352,0.704566
1.172000,-0.023532,0.010118,0.699993
1.174000,-0.016749,0.030032,0.681697
1.176000,0.004709,-0.034133,0.718101
1.178000,0.032222,-0.009168,0.667126
1.180000,-0.024447,0.016970,0.704941
1.182000,0.004981,0.030918,0.711522
1.184000,0.036426,0.004801,0.737566
1.186000,-0.033035,-0.005854,0.739943
1.188000,-0.025621,0.015142,0.749171
1.190000,-0.008472,0.017374,0.756506
1.192000,-0.010412,-0.007193,0.768448
1.194000,0.016252,0.006606,0.786803
1.196000,0.004833,0.023611,0.786987
1.198000,-0.035499,0.037809,0.786313
1.200000,0.010308,0.014852,0.808035
1.202000,-0.011551,0.000883,0.824522
1.204000,0.025489,-0.001082,0.804879
1.206000,-0.012552,0.011148,0.822812
1.208000,-0.012732,-0.002313,0.855238
1.210000,0.010823,0.003793,0.817945
1.212000,0.015259,-0.021158,0.884094
1.214000,0.008962,0.025941,0.829217
1.216000,-0.033712,-0.022804,0.857093
1.218000,0.010761,-0.008642,0.852996
1.220000,-0.020686,0.001952,0.923759
1.222000,0.004706,0.039820,0.877933
1.224000,-0.028475,-0.008454,0.885983
1.226000,0.008926,-0.013320,0.896585
1.228000,-0.016132,-0.011016,0.913912
1.230000,-0.025653,0.033178,0.913431
1.232000,0.014276,-0.056247,0.925342
1.234000,0.004833,-0.020055,0.865416
1.236000,-0.012280,0.054626,0.945143
1.238000,0.029024,0.011818,0.952356
1.240000,-0.008813,-0.022120,0.980771
1.242000,0.000642,-0.000838,0.994181
1.244000,0.005378,0.001349,0.972246
1.246000,-0.012393,0.016923,1.000325
1.248000,0.009423,0.036790,0.969969
1.250000,-0.010669,0.007771,1.015347
1.252000,-0.008233,-0.010796,0.996550
1.254000,0.027253,0.015742,0.992306
1.256000,-0.020812,-0.013965,1.020288
1.258000,-0.048256,-0.020667,1.060009
1.260000,0.032219,-0.035198,1.043620
1.262000,0.050987,-0.031303,1.077930
1.264000,-0.008105,-0.017929,1.041025
1.266000,-0.038737,-0.023556,1.084957
1.268000,-0.006210,0.006265,1.058957
1.270000,-0.005724,-0.023988,1.084507
1.272000,-0.003798,-0.062873,1.092334
1.274000,-0.022268,-0.020878,1.109230
1.276000,0.011591,-0.009437,1.109015
1.278000,0.010490,-0.012109,1.097216
1.280000,-0.029888,0.030390,1.137606
1.282000,0.013984,-0.012271,1.162633
1.284000,0.041054,0.017618,1.124324
1.286000,0.003439,-0.000380,1.107295
1.288000,-0.006747,-0.000846,1.161986
1.290000,-0.002840,-0.016708,1.153376
1.292000,0.012305,-0.001176,1.165378
1.294000,-0.034613,-0.015302,1.187124
1.296000,0.003288,0.003400,1.174872
1.298000,-0.007809,-0.004725,1.186623
1.300000,0.036957,-0.018893,1.197998
1.302000,-0.003483,0.019838,1.237395
1.304000,0.033358,0.008537,1.216601
1.306000,-0.022075,-0.008961,1.199287
